날짜,지점,평균기온,최저기온,최고기온
2023-04-08,108,8.8,3.1,14.9
2023-04-09,108,10.8,3.5,17.8
2023-04-10,108,13.2,6.2,19.1
2023-04-11,108,13.1,9.2,17.4
2023-04-12,108,10.1,4.8,15.3
2023-04-13,108,11.9,5.1,17.2
2023-04-14,108,16.2,11.9,21.3
2023-04-15,108,13.5,9.3,16.6
2023-04-16,108,10.8,7.5,16.1
2023-04-17,108,13.1,6.8,18.1
2023-04-18,108,14,10.7,18.4
2023-04-19,108,19.1,11.5,28.4
2023-04-20,108,15.8,14.5,18.9
2023-04-21,108,16.7,11.4,22.8
2023-04-22,108,16.9,12.2,22.5
2023-04-23,108,16.1,10.7,22.1
2023-04-24,108,15.8,11.5,21.3
2023-04-25,108,10.9,9,13.2
2023-04-26,108,10.2,7.4,13.5
2023-04-27,108,12.9,5.1,20
2023-04-28,108,15.7,9,21.3
2023-04-29,108,13.2,9.9,15.8
2023-04-30,108,12.7,7.9,17.9
2023-05-01,108,14.6,9.8,20.8
2023-05-02,108,16.7,9.1,23.7
2023-05-03,108,19.5,12.4,26.2
2023-05-04,108,21.4,15.6,25.8
2023-05-05,108,18.4,15.5,21.6
2023-05-06,108,12.6,11.7,15.5
2023-05-07,108,14.4,11.1,18.6